,MTH,Dublin,Cork,Louth,Wicklow,Clare,Limerick,Tipperary,Donegal,Galway,Kilkenny,Meath,Kildare,Kerry,Waterford,Westmeath,Wexford,Mayo,Roscommon,Laois,Offaly,Carlow,Sligo,Longford,Monaghan,Leitrim,Cavan,ork,blin,
0,January,5945,1811,364,403,287,514,337,316,630,266,631,786,287,303,221,387,228,125,169,172,144,157,95,69,46,160,0,0,0
1,February,2733,732,139,159,135,190,148,156,252,99,250,286,116,118,67,150,81,49,79,47,43,37,26,36,20,68,0,0,0
2,March,3347,747,114,149,129,190,98,105,250,101,211,332,133,122,67,118,62,56,52,52,58,59,26,30,17,50,0,0,0
3,April,2015,371,69,74,57,115,73,52,122,51,104,146,51,56,26,75,41,26,36,28,24,23,6,11,6,16,0,0,0
4,May,1573,216,52,60,43,68,37,43,81,25,96,94,25,39,29,34,25,23,14,23,11,19,3,10,7,16,0,0,0
5,June,602,128,21,40,17,24,8,16,29,6,52,59,12,14,6,8,9,6,5,5,6,1,1,4,5,2,0,0,0
6,July,5076,1451,284,321,240,415,249,272,468,208,462,610,265,235,178,285,171,97,121,115,106,94,56,72,30,121,0,0,0
7,August,1786,442,73,122,62,158,79,95,124,51,150,194,54,67,52,80,51,23,38,48,43,33,6,14,6,25,2,2,0
8,September,1404,285,48,83,45,83,66,37,101,34,116,138,53,43,34,41,28,23,20,35,16,19,5,13,9,26,0,0,0
9,October,736,135,25,37,24,46,22,21,41,19,55,70,19,30,16,21,17,10,8,13,9,9,2,3,1,12,0,0,0
10,November,494,49,17,32,2,14,12,5,18,11,35,34,13,13,19,14,5,6,7,9,8,5,4,2,2,8,0,0,0
11,December,157,57,5,17,7,7,5,10,11,1,10,19,6,7,4,10,5,2,4,1,2,3,0,0,0,4,0,0,0
