MTH,Dublin,Clare,Limerick,Tipperary,Cork,Donegal,Galway,Kilkenny,Louth,Meath,Kildare,Kerry,Waterford,Westmeath,Wicklow,Wexford,Mayo,Roscommon,Laois,Offaly,Carlow,Sligo,Longford,Leitrim,Cavan,Monaghan
January,3402,111,184,106,806,122,252,105,138,286,371,113,144,80,211,173,72,38,78,51,58,72,25,13,48,33
February,1690,48,71,46,352,62,113,40,66,125,168,47,65,34,103,72,25,10,44,17,21,13,7,9,13,15
March,1896,48,69,34,322,38,106,54,54,110,179,67,72,26,98,65,22,20,24,15,30,17,7,6,15,14
April,1329,26,69,36,194,22,57,29,35,62,76,26,33,13,46,48,11,12,18,14,10,12,2,3,7,2
May,1155,27,44,17,128,20,39,13,31,60,78,9,26,17,45,31,10,8,8,15,7,8,3,3,7,5
June,461,12,13,4,89,9,19,4,11,36,51,10,9,6,32,7,2,5,4,5,4,1,1,0,1,3
July,2988,87,172,89,606,109,185,88,117,225,336,103,132,76,165,117,58,32,42,43,44,35,18,10,38,32
August,1042,25,64,29,178,39,54,28,35,82,97,19,24,23,71,39,17,7,15,22,16,14,2,2,7,4
September,922,24,49,25,171,17,50,24,26,58,83,28,25,16,57,27,14,7,9,12,7,9,0,5,8,5
October,555,10,21,8,76,11,19,9,11,34,47,10,13,7,25,12,7,3,4,5,2,2,1,0,3,1
November,413,0,9,5,32,3,13,2,12,29,28,9,9,7,28,9,1,1,5,4,6,2,1,0,6,1
December,149,7,7,4,49,4,7,1,3,9,18,3,7,4,17,6,0,2,3,0,2,2,0,0,1,0
